Property_Type,Bed,Bath,Parking,Postcode,Suburb,Price
Apartment/House,1,1,1,2000,SYDNEY,840.0
Apartment/House,2,1,1,2000,SYDNEY,1080.0
Apartment/House,2,2,1,2000,SYDNEY,1040.0
Apartment/House,2,2,0,2000,SYDNEY,990.0
Apartment/House,1,1,1,2000,SYDNEY,980.0
Studio,0,1,0,2000,SYDNEY,740.0
Apartment/House,2,2,1,2000,SYDNEY,1490.0
Apartment/House,2,1,1,2000,SYDNEY,1210.0
Apartment/House,1,1,0,2000,SYDNEY,720.0
Apartment/House,2,2,0,2000,SYDNEY,1820.0
Apartment/House,2,2,0,2000,SYDNEY,1650.0
Apartment/House,1,1,0,2000,SYDNEY,720.0
Apartment/House,1,1,0,2000,SYDNEY,580.0
Studio,0,1,0,2000,SYDNEY,830.0
Apartment/House,2,2,1,2000,SYDNEY,1980.0
Apartment/House,1,1,0,2000,SYDNEY,1490.0
Apartment/House,2,2,1,2000,SYDNEY,1490.0
Apartment/House,1,1,0,2000,SYDNEY,830.0
Apartment/House,1,1,1,2000,SYDNEY,910.0
Apartment/House,1,1,0,2000,SYDNEY,1380.0
Apartment/House,1,1,0,2000,SYDNEY,830.0
Apartment/House,2,2,1,2000,SYDNEY,1100.0
Apartment/House,3,2,1,2000,SYDNEY,1980.0
Apartment/House,3,3,2,2000,SYDNEY,2360.0
Apartment/House,2,2,1,2000,SYDNEY,1640.0
Apartment/House,3,3,2,2000,SYDNEY,1870.0
Apartment/House,2,2,0,2000,SYDNEY,1090.0
Apartment/House,3,3,1,2000,SYDNEY,1820.0
Apartment/House,1,1,0,2000,SYDNEY,880.0
Apartment/House,1,1,0,2000,SYDNEY,770.0
Apartment/House,2,2,1,2000,SYDNEY,1430.0
Apartment/House,2,2,1,2000,SYDNEY,1320.0
Apartment/House,1,1,0,2000,SYDNEY,720.0
Apartment/House,2,2,1,2000,SYDNEY,1820.0
Apartment/House,1,1,0,2000,SYDNEY,740.0
Apartment/House,2,2,1,2000,SYDNEY,1890.0
Apartment/House,1,2,0,2000,SYDNEY,1210.0
Apartment/House,3,2,1,2000,SYDNEY,2420.0
Apartment/House,2,2,2,2000,SYDNEY,1540.0
Apartment/House,1,1,0,2000,SYDNEY,990.0
Apartment/House,2,2,1,2000,SYDNEY,1040.0
Apartment/House,1,1,1,2000,SYDNEY,1430.0
Apartment/House,2,2,1,2000,SYDNEY,1650.0
Apartment/House,1,1,0,2000,SYDNEY,790.0
Apartment/House,1,1,0,2000,SYDNEY,990.0
Apartment/House,2,2,1,2000,SYDNEY,1430.0
Apartment/House,3,2,1,2000,SYDNEY,2040.0
Apartment/House,1,1,0,2000,SYDNEY,1010.0
Apartment/House,1,1,0,2000,SYDNEY,1160.0
Apartment/House,4,2,0,2000,SYDNEY,1650.0
Apartment/House,1,1,0,2000,SYDNEY,860.0
Apartment/House,1,1,0,2000,SYDNEY,750.0
Apartment/House,1,1,0,2000,SYDNEY,870.0
Apartment/House,3,2,2,2000,SYDNEY,2090.0
Apartment/House,1,1,0,2000,SYDNEY,1040.0
Apartment/House,1,1,1,2000,SYDNEY,990.0
Apartment/House,1,1,0,2000,SYDNEY,800.0
Apartment/House,2,2,1,2000,SYDNEY,1380.0
Apartment/House,2,2,1,2000,SYDNEY,1260.0
Apartment/House,1,1,0,2000,SYDNEY,660.0
Apartment/House,2,2,1,2000,SYDNEY,1490.0
Apartment/House,1,1,0,2000,SYDNEY,940.0
Apartment/House,1,1,1,2000,SYDNEY,970.0
Apartment/House,1,1,0,2000,SYDNEY,830.0
Apartment/House,3,2,1,2000,SYDNEY,1760.0
Apartment/House,1,1,0,2000,SYDNEY,730.0
Apartment/House,2,2,1,2000,SYDNEY,1650.0
Apartment/House,1,1,0,2000,SYDNEY,830.0
Apartment/House,1,1,1,2000,SYDNEY,1090.0
Apartment/House,1,1,0,2000,SYDNEY,850.0
Apartment/House,1,1,0,2000,SYDNEY,910.0
Apartment/House,2,2,0,2000,SYDNEY,2420.0
Apartment/House,1,1,0,2000,SYDNEY,870.0
Apartment/House,3,2,2,2000,SYDNEY,2090.0
Apartment/House,2,1,0,2000,SYDNEY,1100.0
Apartment/House,2,2,0,2000,SYDNEY,1490.0
Apartment/House,2,2,2,2000,SYDNEY,1210.0
Apartment/House,2,1,0,2000,SYDNEY,1260.0
Apartment/House,1,1,0,2000,SYDNEY,830.0
Apartment/House,1,1,0,2000,SYDNEY,700.0
Apartment/House,1,1,1,2000,SYDNEY,1980.0
Apartment/House,2,2,1,2000,SYDNEY,1430.0
Apartment/House,1,1,0,2000,SYDNEY,1260.0
Apartment/House,1,1,0,2000,SYDNEY,830.0
Apartment/House,2,2,1,2000,SYDNEY,2310.0
Apartment/House,3,2,1,2000,SYDNEY,1540.0
Apartment/House,2,2,1,2000,SYDNEY,1730.0
Apartment/House,1,1,0,2000,SYDNEY,1130.0
Apartment/House,2,1,0,2000,SYDNEY,1040.0
Apartment/House,2,2,1,2000,SYDNEY,1650.0
